Homeconomics 
                  Part II
URL: https://www.biek.edu.pk/Result-2022/Part-II/HEC/Gazzette-2022-HE.pdf
Source: https://www.biek.edu.pk/LastResults.asp

1/2
10503 (1020)
10504 (1031)
10516 (982)
10517 (985)
10522 (980)
10539 (974)
10544 (1020)
10582 (1001)
10589 (967)
10597 (974)
10599 (1017)
10601 (977)
10622 (969)
10636 (1053)
10638 (1015)
10648 (1009)
10677 (1007)
10684 (1028)
10698 (999)
10700 (976)
10709 (965)
10712 (964)
10713 (993)
10720 (956+4)
10731 (986)
10732 (1023)
10753 (1019)
10759 (961)
10764 (971)
10792 (1024)
10794 (956+4)
10800 (993)
10803 (1016)
10814 (1065)
xxx xxx
10527 (851)
10530 (925)
10535 (937)
10536 (905)
10541 (838+2)
10542 (897)
10545 (885)
10549 (940)
10554 (951)
10556 (899)
10562 (942)
10568 (900)
10570 (899)
10592 (866)
10593 (901)
10596 (886)
10605 (894)
10607 (887)
10608 (850)
10611 (870)
10615 (937)
10616 (902)
10625 (852)
10631 (876)
10632 (947)
10634 (856)
10635 (932)
10644 (948)
10645 (931)
10650 (855)
10660 (876)
10663 (905)
10678 (899)
10685 (946)
10686 (911)
10703 (861)
10705 (882)
10707 (912)
10711 (907)
10719 (954)
10728 (841)
10735 (855)
10739 (895)
10742 (911)
10745 (954)
10746 (853)
10755 (848)
10784 (898)
10793 (880)
10796 (906)
10811 (922)
10812 (848)
10829 (941)
10502 (778)
10512 (737)
10519 (834)
10520 (815)
10525 (748)
10526 (811)
10532 (756)
10538 (725)
10550 (780)
10551 (753)
10552 (813)
10559 (811)
10566 (725)
10567 (788)
10574 (793)
10576 (826)
10580 (761+2)
10583 (748+2)
10584 (825)
10587 (831)
10590 (820)
10591 (785)
10594 (747)
10595 (778)
10598 (788)
10604 (772)
10617 (792)
10619 (755)
10624 (766)
10626 (752)
10627 (746+1)
10629 (815+2)
10642 (808)
10651 (827)
10652 (804)
10670 (822+2)
10676 (719+1)
10679 (815)
10690 (727)
10692 (721+3)
10694 (799)
10701 (776+3)
10706 (742)
10714 (709)
10723 (774)
10725 (736)
10726 (722)
10729 (771)
10730 (769)
10733 (764)
10744 (818)
10752 (781)
10767 (801)
10768 (740)
10769 (742)
10770 (771)
10774 (726)
10780 (732)
10781 (778)
10783 (812)
10785 (761)
10788 (785)
10789 (788)
10790 (820)
10797 (732)
10799 (826)
10801 (796)
10804 (821)
10810 (784)
10817 (732)
10826 (766)
10830 (756)
10831 (758)
BOARD OF INTERMEDIATE EDUCATION, KARACHI
RA'ANA LIAQUAT ALI KHAN GOVT. COLLEGE OF HOME ECONOMICS
CANDIDATES BEARING THE FOLLOWING ROLL NUMBERS ARE DECLARED TO HAVE PASSED THE
INTERMEDIATE HOME ECONOMICS GROUP PART-II ANNUAL EXAMINATIONS 2022
NOTE: MARKS OBTAINED BY ALL THE SUCCESSFUL CANDIDATES ARE INDICATED WITHIN
PARENTHESIS AGAINST THEIR ROLL NUMBERS
Grade B:
Grade A:
Grade A-1:
2/2
10505 (616)
10533 (633+1)
10557 (701)
10558 (660)
10561 (680)
10564 (623+3)
10571 (658)
10573 (617+1)
10575 (690)
10581 (681)
10585 (663)
10603 (657+3)
10609 (683)
10613 (712)
10662 (663)
10665 (655)
10667 (757)
10688 (634+1)
10689 (634)
10697 (620)
10710 (651)
10715 (645+1)
10718 (739+1)
10743 (625)
10762 (605+3)
10763 (694+1)
10778 (606)
10798 (668+3)
10808 (620+2)
10813 (642)
10816 (649)
10822 (630)
10825 (692)
10521 (554+1)
10524 (589)
10579 (554)
10600 (569+2)
10602 (584+1)
10628 (592)
10657 (591+3)
10680 (516+3)
10683 (554)
10727 (572+5)
10737 (530+1)
10757 (546)
10802 (480)
10827 (592+2)
10832 (590+3)
10748 (478+3)
11201 (472)
Grade C:
**************************
Grade E:
Grade D:
